difficulty_rank,split,label,insect_name,support,true_positive,false_negative,predicted_total,false_positive,precision,recall,f1_score,error_rate,top1_wrong_label,top1_wrong_class,top1_wrong_count,top1_wrong_rate,top1_share_of_class_errors,top2_wrong_label,top2_wrong_class,top2_wrong_count,top2_wrong_rate,top2_share_of_class_errors,top3_wrong_label,top3_wrong_class,top3_wrong_count,top3_wrong_rate,top3_share_of_class_errors,top4_wrong_label,top4_wrong_class,top4_wrong_count,top4_wrong_rate,top4_share_of_class_errors,top5_wrong_label,top5_wrong_class,top5_wrong_count,top5_wrong_rate,top5_share_of_class_errors
1,train,17,white margined moth,88,66,22,70,4,0.942857,0.750000,0.835443,0.250000,18,black cutworm,17,0.193182,0.772727,19,large cutworm,3,0.034091,0.136364,20,yellow cutworm,2,0.022727,0.090909,,,0,0.000000,0.000000,,,0,0.000000,0.000000
2,train,28,green bug,195,171,24,185,14,0.924324,0.876923,0.900000,0.123077,27,english grain aphid,12,0.061538,0.500000,29,bird cherry-oataphid,6,0.030769,0.250000,24,aphids,3,0.015385,0.125000,90,Toxoptera aurantii,3,0.015385,0.125000,,,0,0.000000,0.000000
3,train,19,large cutworm,294,267,27,294,27,0.908163,0.908163,0.908163,0.091837,18,black cutworm,20,0.068027,0.740741,20,yellow cutworm,6,0.020408,0.222222,38,cabbage army worm,1,0.003401,0.037037,,,0,0.000000,0.000000,,,0,0.000000,0.000000
4,train,20,yellow cutworm,287,252,35,263,11,0.958175,0.878049,0.916364,0.121951,18,black cutworm,17,0.059233,0.485714,19,large cutworm,15,0.052265,0.428571,38,cabbage army worm,2,0.006969,0.057143,17,white margined moth,1,0.003484,0.028571,,,0,0.000000,0.000000
5,train,9,small brown plant hopper,331,307,24,327,20,0.938838,0.927492,0.933131,0.072508,7,brown plant hopper,12,0.036254,0.500000,8,white backed plant hopper,10,0.030211,0.416667,0,rice leaf roller,2,0.006042,0.083333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
6,train,36,beet fly,62,57,5,60,3,0.950000,0.919355,0.934426,0.080645,40,Beet spot flies,3,0.048387,0.600000,2,paddy stem maggot,1,0.016129,0.200000,35,cerodonta denticornis,1,0.016129,0.200000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
7,train,18,black cutworm,512,500,12,558,58,0.896057,0.976562,0.934579,0.023438,19,large cutworm,7,0.013672,0.583333,17,white margined moth,2,0.003906,0.166667,20,yellow cutworm,2,0.003906,0.166667,86,Prodenia litura,1,0.001953,0.083333,,,0,0.000000,0.000000
8,train,2,paddy stem maggot,156,143,13,150,7,0.953333,0.916667,0.934641,0.083333,6,Rice Stemfly,5,0.032051,0.384615,36,beet fly,3,0.019231,0.230769,3,asiatic rice borer,1,0.006410,0.076923,8,white backed plant hopper,1,0.006410,0.076923,11,rice leafhopper,1,0.006410,0.076923
9,train,32,longlegged spider mite,147,140,7,149,9,0.939597,0.952381,0.945946,0.047619,31,penthaleus major,6,0.040816,0.857143,21,red spider,1,0.006803,0.142857,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
10,train,8,white backed plant hopper,535,501,34,523,22,0.957935,0.936449,0.947070,0.063551,7,brown plant hopper,18,0.033645,0.529412,9,small brown plant hopper,13,0.024299,0.382353,3,asiatic rice borer,1,0.001869,0.029412,10,rice water weevil,1,0.001869,0.029412,27,english grain aphid,1,0.001869,0.029412
11,train,27,english grain aphid,392,378,14,406,28,0.931034,0.964286,0.947368,0.035714,29,bird cherry-oataphid,6,0.015306,0.428571,28,green bug,4,0.010204,0.285714,24,aphids,3,0.007653,0.214286,52,therioaphis maculata Buckton,1,0.002551,0.071429,,,0,0.000000,0.000000
12,train,33,wheat phloeothrips,175,166,9,175,9,0.948571,0.948571,0.948571,0.051429,54,Thrips,3,0.017143,0.333333,12,grain spreader thrips,2,0.011429,0.222222,92,Scirtothrips dorsalis Hood,2,0.011429,0.222222,32,longlegged spider mite,1,0.005714,0.111111,53,odontothrips loti,1,0.005714,0.111111
