comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
31,49,lytta polita,392,0.997436,0.992347,0.994885,0.007653,65,0.649123,0.569231,0.606557,0.430769,197,0.620915,0.482234,0.542857,0.517766,0.388328,0.423116,0.452028,0.063700
32,74,Panonchus citri McGregor,231,0.970213,0.987013,0.978541,0.012987,38,0.530612,0.684211,0.597701,0.315789,116,0.609589,0.767241,0.679389,0.232759,0.380840,0.302802,0.299151,-0.081688
33,32,longlegged spider mite,147,0.939189,0.945578,0.942373,0.054422,24,0.590909,0.541667,0.565217,0.458333,74,0.514286,0.486486,0.500000,0.513514,0.377155,0.403912,0.442373,0.065217
34,12,grain spreader thrips,103,0.980952,1.000000,0.990385,0.000000,18,0.571429,0.666667,0.615385,0.333333,52,0.636364,0.538462,0.583333,0.461538,0.375000,0.333333,0.407051,0.032051
35,8,white backed plant hopper,535,0.958333,0.945794,0.952023,0.054206,90,0.602410,0.555556,0.578035,0.444444,268,0.500000,0.507463,0.503704,0.492537,0.373988,0.390239,0.448319,0.074331
36,43,sericaorient alismots chulsky,114,1.000000,0.982456,0.991150,0.017544,19,0.769231,0.526316,0.625000,0.473684,58,0.719298,0.706897,0.713043,0.293103,0.366150,0.456140,0.278107,-0.088043
37,18,black cutworm,512,0.899461,0.978516,0.937325,0.021484,85,0.536082,0.611765,0.571429,0.388235,257,0.552727,0.591440,0.571429,0.408560,0.365896,0.366751,0.365896,0.000000
38,80,Parlatoria zizyphus Lucus,44,1.000000,0.977273,0.988506,0.022727,7,0.555556,0.714286,0.625000,0.285714,23,0.823529,0.608696,0.700000,0.391304,0.363506,0.262987,0.288506,-0.075000
39,86,Prodenia litura,782,0.979798,0.992327,0.986023,0.007673,130,0.623077,0.623077,0.623077,0.376923,392,0.675192,0.673469,0.674330,0.326531,0.362946,0.369250,0.311693,-0.051253
40,3,asiatic rice borer,631,0.975000,0.988906,0.981904,0.011094,106,0.646465,0.603774,0.624390,0.396226,316,0.588785,0.598101,0.593407,0.401899,0.357514,0.385133,0.388497,0.030984
41,11,rice leafhopper,242,0.987552,0.983471,0.985507,0.016529,40,0.619048,0.650000,0.634146,0.350000,122,0.549020,0.459016,0.500000,0.540984,0.351361,0.333471,0.485507,0.134146
42,17,white margined moth,88,0.929577,0.750000,0.830189,0.250000,14,0.545455,0.428571,0.480000,0.571429,45,0.384615,0.333333,0.357143,0.666667,0.350189,0.321429,0.473046,0.122857
43,90,Toxoptera aurantii,135,0.963504,0.977778,0.970588,0.022222,23,0.636364,0.608696,0.622222,0.391304,68,0.606557,0.544118,0.573643,0.455882,0.348366,0.369082,0.396945,0.048579
44,91,Aphis citricola Vander Goot,210,0.985646,0.980952,0.983294,0.019048,35,0.677419,0.600000,0.636364,0.400000,106,0.569106,0.660377,0.611354,0.339623,0.346930,0.380952,0.371940,0.025010
45,64,Pseudococcus comstocki Kuwana,184,1.000000,0.994565,0.997275,0.005435,30,0.617647,0.700000,0.656250,0.300000,93,0.707317,0.623656,0.662857,0.376344,0.341025,0.294565,0.334418,-0.006607
46,41,meadow moth,162,1.000000,0.987654,0.993789,0.012346,27,0.680000,0.629630,0.653846,0.370370,81,0.861538,0.691358,0.767123,0.308642,0.339943,0.358025,0.226666,-0.113277
47,89,Toxoptera citricidus,113,0.973451,0.973451,0.973451,0.026549,19,0.590909,0.684211,0.634146,0.315789,57,0.500000,0.491228,0.495575,0.508772,0.339305,0.289241,0.477876,0.138571
48,33,wheat phloeothrips,175,0.948571,0.948571,0.948571,0.051429,29,0.653846,0.586207,0.618182,0.413793,88,0.541667,0.590909,0.565217,0.409091,0.330390,0.362365,0.383354,0.052964
49,31,penthaleus major,139,0.956204,0.942446,0.949275,0.057554,24,0.666667,0.583333,0.622222,0.416667,70,0.741379,0.614286,0.671875,0.385714,0.327053,0.359113,0.277400,-0.049653
50,23,army worm,642,0.993730,0.987539,0.990625,0.012461,107,0.635593,0.700935,0.666667,0.299065,322,0.572816,0.549689,0.561014,0.450311,0.323958,0.286604,0.429611,0.105652
51,60,Colomerus vitis,105,0.990385,0.980952,0.985646,0.019048,18,0.733333,0.611111,0.666667,0.388889,53,0.714286,0.660377,0.686275,0.339623,0.318979,0.369841,0.299371,-0.019608
52,53,odontothrips loti,106,0.990385,0.971698,0.980952,0.028302,17,0.769231,0.588235,0.666667,0.411765,54,0.574074,0.574074,0.574074,0.425926,0.314286,0.383463,0.406878,0.092593
53,51,blister beetle,1138,0.988586,0.989455,0.989021,0.010545,189,0.673267,0.719577,0.695652,0.280423,570,0.661046,0.687719,0.674119,0.312281,0.293368,0.269878,0.314902,0.021534
