confusion_rank,split,true_label,true_class,predicted_label,predicted_class,wrong_count,true_class_support,wrong_rate_of_true_class,share_of_true_class_errors,predicted_class_total,share_of_predicted_class
69,train,57,Apolygus lucorum,70,Miridae,2,228,0.008772,0.500000,3057,0.000654
70,train,83,Tetradacus c Bactrocera minax,84,Dacus dorsalis(Hendel),2,232,0.008621,1.000000,263,0.007605
71,train,11,rice leafhopper,101,Cicadellidae,2,242,0.008264,0.500000,3444,0.000581
72,train,77,Unaspis yanonensis,79,Chrysomphalus aonidum,2,251,0.007968,1.000000,137,0.014599
73,train,20,yellow cutworm,38,cabbage army worm,2,287,0.006969,0.057143,500,0.004000
74,train,5,rice gall midge,3,asiatic rice borer,2,303,0.006601,0.250000,639,0.003130
75,train,5,rice gall midge,9,small brown plant hopper,2,303,0.006601,0.250000,327,0.006116
76,train,9,small brown plant hopper,0,rice leaf roller,2,331,0.006042,0.083333,677,0.002954
77,train,99,Rhytidodera bowrinii white,68,Xylotrechus,2,333,0.006006,0.500000,692,0.002890
78,train,46,alfalfa plant bug,47,tarnished plant bug,2,393,0.005089,0.222222,488,0.004098
79,train,29,bird cherry-oataphid,89,Toxoptera citricidus,2,424,0.004717,0.090909,113,0.017699
80,train,92,Scirtothrips dorsalis Hood,54,Thrips,2,484,0.004132,0.666667,519,0.003854
81,train,7,brown plant hopper,3,asiatic rice borer,2,500,0.004000,0.111111,639,0.003130
82,train,18,black cutworm,17,white margined moth,2,512,0.003906,0.166667,70,0.028571
83,train,18,black cutworm,20,yellow cutworm,2,512,0.003906,0.166667,263,0.007605
84,train,38,cabbage army worm,18,black cutworm,2,513,0.003899,0.100000,558,0.003584
85,train,38,cabbage army worm,45,flax budworm,2,513,0.003899,0.100000,636,0.003145
86,train,54,Thrips,71,Trialeurodes vaporariorum,2,527,0.003795,0.142857,419,0.004773
87,train,3,asiatic rice borer,4,yellow rice borer,2,631,0.003170,0.285714,293,0.006826
88,train,3,asiatic rice borer,22,corn borer,2,631,0.003170,0.285714,1021,0.001959
89,train,23,army worm,22,corn borer,2,642,0.003115,0.250000,1021,0.001959
90,train,0,rice leaf roller,1,rice leaf caterpillar,2,669,0.002990,0.200000,292,0.006849
91,train,86,Prodenia litura,18,black cutworm,2,782,0.002558,0.285714,558,0.003584
92,train,86,Prodenia litura,97,Chlumetia transversa,2,782,0.002558,0.285714,186,0.010753
93,train,39,beet army worm,86,Prodenia litura,2,962,0.002079,0.333333,792,0.002525
94,train,22,corn borer,23,army worm,2,1018,0.001965,0.500000,639,0.003130
95,train,24,aphids,27,english grain aphid,2,2456,0.000814,0.333333,406,0.004926
96,train,24,aphids,28,green bug,2,2456,0.000814,0.333333,185,0.010811
