epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_g_mean
1,0.0001,1.6962956333890011,0.5601729681782903,1.3122085220303008,0.6353223228556206,0.5139198446351929,0.0
2,0.0001,0.9796599963384373,0.7167535203459363,1.196885307338131,0.6654235482152371,0.5560848562101284,0.0
3,0.0001,0.6743305586254482,0.795254462800754,1.2909048483430392,0.66848694725626,0.5894810068709131,0.0
4,0.0001,0.495727938770164,0.8449939017629449,1.320561278818548,0.6770111880660629,0.5941812666684616,0.0
5,0.0001,0.3882823982029535,0.8796762390508925,1.4450380311506599,0.6782099094299414,0.5954243073382429,0.5486917467238385
6,0.0001,0.32559698564131057,0.898525335403038,1.5478196921432894,0.6778103356419819,0.6067504422955494,0.5694591426570361
7,0.0001,0.28446648219958226,0.9110100898104002,1.627858450532807,0.6746137453383058,0.5993800609385682,0.0
8,0.0001,0.2584990146666871,0.9209890231733008,1.7727148703390216,0.6776771443793287,0.5991485640754232,0.0
9,0.0001,0.23957679327990403,0.927552943785342,1.8059153414221396,0.675546084176878,0.5994893920056917,0.0
10,0.0001,0.22432395491042942,0.9344938463244262,1.8560417051784066,0.6647575919019713,0.5947119909379646,0.0
11,1e-05,0.06718489626036427,0.9801973611265107,1.7904032913490144,0.7121736814064997,0.6407516075639496,0.5929881902342865
12,1e-05,0.025044729962011892,0.9926599401263998,1.8505003955799477,0.7153702717101759,0.648272281876836,0.6039444065550246
13,1e-05,0.013639657890920321,0.9963410577669365,1.9178301747264308,0.7179009057005861,0.6497046252925021,0.6063907900096818
14,1e-05,0.009616988711167358,0.9971615478434416,1.978348349605248,0.7188332445391582,0.6444209837377016,0.5961076611964076
15,1e-05,0.00722330163890437,0.9978933362900543,2.0046832570935407,0.7156366542354822,0.6442478705915918,0.6006688477623274
16,1e-05,0.006255451111723958,0.9984698968843553,2.0558994962637067,0.7193660095897709,0.6486737387552322,0.5998191585776004
17,1e-05,0.005792244187010109,0.998425546069409,2.0883390649322675,0.7185668620138519,0.6465215058892193,0.5963878442789106
18,1.0000000000000002e-06,0.0035248487146230818,0.9991573345160217,2.092368084686576,0.7193660095897709,0.6480747395724359,0.5959913219419721
19,1.0000000000000002e-06,0.002486704660606458,0.9993347377758066,2.095209029512766,0.7192328183271177,0.6488543425727143,0.5964445419355136
