confusion_rank,split,true_label,true_class,predicted_label,predicted_class,wrong_count,true_class_support,wrong_rate_of_true_class,share_of_true_class_errors,predicted_class_total,share_of_predicted_class
65,train,75,Phyllocoptes oleiverus ashmead,71,Trialeurodes vaporariorum,2,103,0.019417,0.333333,419,0.004773
66,train,60,Colomerus vitis,67,Lycorma delicatula,2,105,0.019048,0.043478,3194,0.000626
67,train,60,Colomerus vitis,70,Miridae,2,105,0.019048,0.043478,3058,0.000654
68,train,55,alfalfa seed chalcid,14,grub,2,111,0.018018,0.066667,525,0.003810
69,train,55,alfalfa seed chalcid,40,Beet spot flies,2,111,0.018018,0.066667,199,0.010050
70,train,55,alfalfa seed chalcid,48,Locustoidea,2,111,0.018018,0.066667,838,0.002387
71,train,96,Deporaus marginatus Pascoe,10,rice water weevil,2,126,0.015873,0.046512,519,0.003854
72,train,96,Deporaus marginatus Pascoe,24,aphids,2,126,0.015873,0.046512,2539,0.000788
73,train,96,Deporaus marginatus Pascoe,50,legume blister beetle,2,126,0.015873,0.046512,852,0.002347
74,train,96,Deporaus marginatus Pascoe,70,Miridae,2,126,0.015873,0.046512,3058,0.000654
75,train,79,Chrysomphalus aonidum,78,Ceroplastes rubens,2,135,0.014815,0.090909,157,0.012739
76,train,31,penthaleus major,27,english grain aphid,2,139,0.014388,0.071429,404,0.004950
77,train,31,penthaleus major,32,longlegged spider mite,2,139,0.014388,0.071429,61,0.032787
78,train,32,longlegged spider mite,1,rice leaf caterpillar,2,147,0.013605,0.022727,295,0.006780
79,train,32,longlegged spider mite,5,rice gall midge,2,147,0.013605,0.022727,308,0.006494
80,train,32,longlegged spider mite,29,bird cherry-oataphid,2,147,0.013605,0.022727,452,0.004425
81,train,32,longlegged spider mite,54,Thrips,2,147,0.013605,0.022727,573,0.003490
82,train,7,brown plant hopper,9,small brown plant hopper,2,500,0.004000,0.666667,333,0.006006
