comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
31,6,Rice Stemfly,221,0.924686,1.000000,0.960870,0.000000,37,0.545455,0.648649,0.592593,0.351351,111,0.620968,0.693694,0.655319,0.306306,0.368277,0.351351,0.305550,-0.062727
32,51,blister beetle,1138,0.991289,1.000000,0.995626,0.000000,189,0.634409,0.624339,0.629333,0.375661,570,0.699816,0.666667,0.682839,0.333333,0.366292,0.375661,0.312786,-0.053506
33,42,beet weevil,184,0.924623,1.000000,0.960836,0.000000,31,0.511628,0.709677,0.594595,0.290323,93,0.625000,0.645161,0.634921,0.354839,0.366241,0.290323,0.325915,-0.040326
34,72,Erythroneura apicalis,42,0.966667,0.690476,0.805556,0.309524,7,1.000000,0.285714,0.444444,0.714286,22,0.684211,0.590909,0.634146,0.409091,0.361111,0.404762,0.171409,-0.189702
35,86,Prodenia litura,782,0.989873,1.000000,0.994911,0.000000,130,0.626866,0.646154,0.636364,0.353846,392,0.656716,0.673469,0.664987,0.326531,0.358547,0.353846,0.329924,-0.028624
36,3,asiatic rice borer,631,0.998418,1.000000,0.999208,0.000000,106,0.647619,0.641509,0.644550,0.358491,316,0.575221,0.617089,0.595420,0.382911,0.354658,0.358491,0.403788,0.049130
37,12,grain spreader thrips,103,1.000000,0.427184,0.598639,0.572816,18,0.500000,0.166667,0.250000,0.833333,52,0.800000,0.307692,0.444444,0.692308,0.348639,0.260518,0.154195,-0.194444
38,44,alfalfa weevil,314,0.987421,1.000000,0.993671,0.000000,52,0.731707,0.576923,0.645161,0.423077,158,0.686131,0.594937,0.637288,0.405063,0.348510,0.423077,0.356383,0.007873
39,55,alfalfa seed chalcid,111,1.000000,0.729730,0.843750,0.270270,18,0.571429,0.444444,0.500000,0.555556,56,0.588235,0.357143,0.444444,0.642857,0.343750,0.285285,0.399306,0.055556
40,43,sericaorient alismots chulsky,114,1.000000,0.763158,0.865672,0.236842,19,1.000000,0.368421,0.538462,0.631579,58,0.846154,0.568966,0.680412,0.431034,0.327210,0.394737,0.185259,-0.141951
41,23,army worm,642,0.998445,1.000000,0.999222,0.000000,107,0.660714,0.691589,0.675799,0.308411,322,0.622896,0.574534,0.597738,0.425466,0.323423,0.308411,0.401484,0.078061
42,92,Scirtothrips dorsalis Hood,484,0.950884,1.000000,0.974824,0.000000,80,0.584158,0.737500,0.651934,0.262500,243,0.588235,0.740741,0.655738,0.259259,0.322890,0.262500,0.319086,-0.003804
43,65,parathrene regalis,84,1.000000,0.880952,0.936709,0.119048,14,0.666667,0.571429,0.615385,0.428571,42,0.740741,0.476190,0.579710,0.523810,0.321324,0.309524,0.356999,0.035674
44,84,Dacus dorsalis(Hendel),263,0.946043,1.000000,0.972274,0.000000,44,0.638298,0.681818,0.659341,0.318182,132,0.677852,0.765152,0.718861,0.234848,0.312933,0.318182,0.253412,-0.059521
45,22,corn borer,1018,0.999019,1.000000,0.999509,0.000000,170,0.710692,0.664706,0.686930,0.335294,510,0.689464,0.731373,0.709800,0.268627,0.312579,0.335294,0.289709,-0.022870
46,74,Panonchus citri McGregor,231,0.868421,1.000000,0.929577,0.000000,38,0.577778,0.684211,0.626506,0.315789,116,0.601449,0.715517,0.653543,0.284483,0.303071,0.315789,0.276034,-0.027037
47,21,red spider,317,0.883008,1.000000,0.937870,0.000000,53,0.547945,0.754717,0.634921,0.245283,159,0.581522,0.672956,0.623907,0.327044,0.302949,0.245283,0.313963,0.011014
48,11,rice leafhopper,242,1.000000,1.000000,1.000000,0.000000,40,0.729730,0.675000,0.701299,0.325000,122,0.563830,0.434426,0.490741,0.565574,0.298701,0.325000,0.509259,0.210558
49,50,legume blister beetle,845,0.991784,1.000000,0.995875,0.000000,141,0.697183,0.702128,0.699647,0.297872,423,0.727064,0.749409,0.738068,0.250591,0.296228,0.297872,0.257808,-0.038421
50,41,meadow moth,162,0.993865,1.000000,0.996923,0.000000,27,0.703704,0.703704,0.703704,0.296296,81,0.792208,0.753086,0.772152,0.246914,0.293219,0.296296,0.224771,-0.068448
51,40,Beet spot flies,179,0.899497,1.000000,0.947090,0.000000,30,0.617647,0.700000,0.656250,0.300000,90,0.620000,0.688889,0.652632,0.311111,0.290840,0.300000,0.294458,0.003618
52,99,Rhytidodera bowrinii white,333,0.991071,1.000000,0.995516,0.000000,55,0.782609,0.654545,0.712871,0.345455,167,0.751724,0.652695,0.698718,0.347305,0.282644,0.345455,0.296798,0.014153
53,4,yellow rice borer,302,0.996700,1.000000,0.998347,0.000000,50,0.744681,0.700000,0.721649,0.300000,152,0.637584,0.625000,0.631229,0.375000,0.276698,0.300000,0.367118,0.090420
54,26,peach borer,414,0.992806,1.000000,0.996390,0.000000,69,0.702703,0.753623,0.727273,0.246377,208,0.738739,0.788462,0.762791,0.211538,0.269117,0.246377,0.233599,-0.035518
55,33,wheat phloeothrips,175,0.833333,1.000000,0.909091,0.000000,29,0.583333,0.724138,0.646154,0.275862,88,0.528302,0.636364,0.577320,0.363636,0.262937,0.275862,0.331771,0.068834
56,34,wheat sawfly,203,0.990244,1.000000,0.995098,0.000000,34,0.846154,0.647059,0.733333,0.352941,102,0.797980,0.774510,0.786070,0.225490,0.261765,0.352941,0.209028,-0.052736
57,80,Parlatoria zizyphus Lucus,44,1.000000,0.863636,0.926829,0.136364,7,0.800000,0.571429,0.666667,0.428571,23,0.923077,0.521739,0.666667,0.478261,0.260163,0.292208,0.260163,-0.000000
58,64,Pseudococcus comstocki Kuwana,184,0.948454,1.000000,0.973545,0.000000,30,0.709677,0.733333,0.721311,0.266667,93,0.716049,0.623656,0.666667,0.376344,0.252233,0.266667,0.306878,0.054645
59,31,penthaleus major,139,0.991071,0.798561,0.884462,0.201439,24,0.764706,0.541667,0.634146,0.458333,70,0.775510,0.542857,0.638655,0.457143,0.250316,0.256894,0.245807,-0.004509
60,61,Brevipoalpus lewisi McGregor,47,1.000000,0.914894,0.955556,0.085106,8,0.833333,0.625000,0.714286,0.375000,24,0.818182,0.750000,0.782609,0.250000,0.241270,0.289894,0.172947,-0.068323
61,100,Sternochetus frigidus,274,0.961404,1.000000,0.980322,0.000000,46,0.739130,0.739130,0.739130,0.260870,138,0.690476,0.630435,0.659091,0.369565,0.241192,0.260870,0.321231,0.080040
62,10,rice water weevil,513,0.988439,1.000000,0.994186,0.000000,86,0.802632,0.709302,0.753086,0.290698,257,0.790598,0.719844,0.753564,0.280156,0.241100,0.290698,0.240622,-0.000478
63,59,Viteus vitifoliae,212,0.887029,1.000000,0.940133,0.000000,35,0.642857,0.771429,0.701299,0.228571,107,0.679245,0.672897,0.676056,0.327103,0.238834,0.228571,0.264077,0.025242
64,90,Toxoptera aurantii,135,0.982759,0.422222,0.590674,0.577778,23,0.545455,0.260870,0.352941,0.739130,68,0.689655,0.294118,0.412371,0.705882,0.237732,0.161353,0.178302,-0.059430
