error_contribution_rank,split,label,insect_name,support,false_negative,error_rate,precision,recall,f1_score,top1_wrong_class,top1_wrong_count,top1_wrong_rate,error_share,cumulative_errors,cumulative_error_share
46,train,45,flax budworm,639,0,0.000000,0.996880,1.000000,0.998437,,0,0.000000,0.000000,810,1.000000
47,train,3,asiatic rice borer,631,0,0.000000,0.998418,1.000000,0.999208,,0,0.000000,0.000000,810,1.000000
48,train,8,white backed plant hopper,535,0,0.000000,0.990741,1.000000,0.995349,,0,0.000000,0.000000,810,1.000000
49,train,16,wireworm,532,0,0.000000,0.992537,1.000000,0.996255,,0,0.000000,0.000000,810,1.000000
50,train,14,grub,516,0,0.000000,0.982857,1.000000,0.991354,,0,0.000000,0.000000,810,1.000000
51,train,10,rice water weevil,513,0,0.000000,0.988439,1.000000,0.994186,,0,0.000000,0.000000,810,1.000000
52,train,38,cabbage army worm,513,0,0.000000,0.990347,1.000000,0.995150,,0,0.000000,0.000000,810,1.000000
53,train,18,black cutworm,512,0,0.000000,0.939450,1.000000,0.968780,,0,0.000000,0.000000,810,1.000000
54,train,47,tarnished plant bug,492,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
55,train,92,Scirtothrips dorsalis Hood,484,0,0.000000,0.950884,1.000000,0.974824,,0,0.000000,0.000000,810,1.000000
56,train,37,flea beetle,473,0,0.000000,0.983368,1.000000,0.991614,,0,0.000000,0.000000,810,1.000000
57,train,66,Ampelophaga,458,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
58,train,76,Icerya purchasi Maskell,433,0,0.000000,0.986333,1.000000,0.993119,,0,0.000000,0.000000,810,1.000000
59,train,29,bird cherry-oataphid,424,0,0.000000,0.938053,1.000000,0.968037,,0,0.000000,0.000000,810,1.000000
60,train,71,Trialeurodes vaporariorum,415,0,0.000000,0.990453,1.000000,0.995204,,0,0.000000,0.000000,810,1.000000
61,train,82,Aleurocanthus spiniferus,414,0,0.000000,0.988067,1.000000,0.993998,,0,0.000000,0.000000,810,1.000000
62,train,26,peach borer,414,0,0.000000,0.992806,1.000000,0.996390,,0,0.000000,0.000000,810,1.000000
63,train,27,english grain aphid,392,0,0.000000,0.970297,1.000000,0.984925,,0,0.000000,0.000000,810,1.000000
64,train,49,lytta polita,392,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
65,train,94,Lawana imitata Melichar,346,0,0.000000,0.994253,1.000000,0.997118,,0,0.000000,0.000000,810,1.000000
