epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_g_mean
1,0.01,1.9240512076073442,0.5138707173744318,1.3701351548757923,0.6201385189131593,0.4789780641464386,0.0
2,0.01,1.3543396018827976,0.6280075396385408,1.3049051559864622,0.6434469898774641,0.5285155027769992,0.0
3,0.01,1.2235881695079625,0.6581439183945005,1.323970301378445,0.6483750665956314,0.5283271812869021,0.0
4,0.01,1.2098759868454545,0.6593635658055217,1.4188252869814453,0.6313265849760256,0.5172683743160875,0.0
5,0.01,1.2119071469310647,0.6580552167646081,1.3877533915084,0.6346563665423548,0.5280260855226188,0.0
6,0.01,1.2513675659138237,0.651535646967513,1.4630850126554265,0.616009589770911,0.5130479981081881,0.0
7,0.001,0.8030714734138042,0.7674465018294712,1.1034102238617072,0.7137719765583378,0.6192342258804375,0.0
8,0.001,0.6352386671432252,0.8142587870052113,1.0807084289602573,0.7189664358018114,0.6287279690219318,0.0
9,0.001,0.5592209329109707,0.8334183390619803,1.0839189586236941,0.7245604688332445,0.6369785334596211,0.0
10,0.001,0.5001776021360121,0.8506929814835348,1.0965639111276053,0.722562599893447,0.64118497261843,0.5930396518010733
11,0.001,0.44782133506478194,0.8655726798979931,1.134817175130205,0.7198987746403835,0.6350080314526656,0.5863410204869861
12,0.001,0.4061238860030544,0.8779687326754629,1.1483448896164246,0.7232285562067129,0.6447867439299663,0.5965950204993239
13,0.001,0.37094331142087905,0.8897438740436856,1.1699421325472488,0.7253596164091636,0.6501035877282201,0.6097932283204721
14,0.001,0.33368732079703284,0.9015855416343276,1.225677479830182,0.7208311134789558,0.6393959732715685,0.6011084964883199
15,0.001,0.30834094910251586,0.9075507262445948,1.2680946855503643,0.7226957911561002,0.6436796563116849,0.6021169578051968
16,0.001,0.2837393056422436,0.9166426433085708,1.286961442104714,0.7212306872669153,0.6393625811537579,0.0
17,0.001,0.26792600234578673,0.9217873378423328,1.3038368111692262,0.7189664358018114,0.6394295136456779,0.0
18,0.0001,0.20143706906607126,0.9445393059097461,1.29883174246577,0.7222962173681406,0.6401144422918459,0.606505419254375
19,0.0001,0.18710042001277435,0.9499501053331855,1.2968987662677114,0.7237613212573255,0.6439015620286338,0.6095375350981326
