epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_g_mean
1,0.01,2.047223266562333,0.4974165650293824,1.526802797011384,0.5871070857751731,0.4452523748112083,0.0
2,0.01,1.226904021338833,0.6573456037254685,1.264929828265276,0.652770378263186,0.5323622566759616,0.0
3,0.01,0.9614262986941855,0.7213438296928706,1.2631514805091717,0.6517048481619606,0.5411596563983375,0.0
4,0.01,0.7895972494685686,0.7648741545625901,1.2239062838657269,0.6664890783164624,0.5727721558051226,0.0
5,0.01,0.6702093283529226,0.795254462800754,1.2404096177007584,0.6732818327117741,0.5767166750517274,0.0
6,0.01,0.5820800806019731,0.8203126732453709,1.2938974845358584,0.6680873734683005,0.5775841368210477,0.0
7,0.01,0.5190821218601628,0.8384521565583768,1.2875694879268673,0.674746936600959,0.5974799386589319,0.0
8,0.01,0.4657898648586965,0.8530435746756847,1.3434671181341913,0.6682205647309537,0.592855196934643,0.0
9,0.01,0.4289878981210451,0.8657057323428318,1.4195713713312632,0.6521044219499201,0.5729902746374193,0.5094265259757518
10,0.01,0.3928513695176206,0.8762834017075064,1.4528082295117,0.6491742141715503,0.5766041751878195,0.0
11,0.01,0.3760391039652179,0.8822042355028273,1.473508070711767,0.6550346297282899,0.5684164527245719,0.515589080599507
12,0.001,0.19730927962208814,0.9402594522674355,1.2265669589958486,0.7172349493873202,0.6450538866297332,0.6009504806893808
13,0.001,0.11558928060246117,0.9662046790109768,1.2341109619108235,0.7224294086307939,0.64813799468475,0.0
14,0.001,0.09012868852695455,0.9746756846657058,1.251279206179404,0.7256259989344699,0.6542608662610415,0.6093710143825473
15,0.001,0.07372596774199464,0.9794212218649517,1.2597553021233325,0.7252264251465104,0.6509594946093236,0.6041823392855039
16,0.001,0.0625357532156903,0.9842111098791441,1.2902847701365094,0.7229621736814065,0.6492513811873998,0.6078114625114968
17,0.001,0.054082191765080376,0.9870495620357024,1.302981870164564,0.7228289824187534,0.6508007361146054,0.6069868605807324
18,0.001,0.04688477132253391,0.9894666814502716,1.3102129500758222,0.724160895045285,0.6499431218396858,0.6075174277832004
19,0.0001,0.03871806188203475,0.992504712274088,1.321528404839952,0.7246936600958978,0.6470239927702307,0.6042728041670937
20,0.0001,0.039006671418185666,0.9923938352367224,1.3109647809474723,0.7242940863079382,0.6500174467880316,0.6105856117783836
